Time,excluded_ICU_cases,ICU_cases,total_cases
2020-02-24,101,26,127
2020-02-25,114,35,149
2020-02-26,128,36,164
2020-02-27,248,56,304
2020-02-28,345,64,409
2020-02-29,401,105,506
2020-03-01,639,140,779
2020-03-02,742,166,908
2020-03-03,1034,229,1263
2020-03-04,1346,295,1641
2020-03-05,179,351,2141
2020-03-06,2394,462,2856
2020-03-07,2651,567,3218
2020-03-08,3557,650,4207
2020-03-09,4316,733,5049
2020-03-10,5038,877,5038
2020-03-11,5838,1028,6866
2020-03-12,665,1153,7803
2020-03-13,7426,1328,8754
2020-03-14,8372,1518,989
2020-03-15,9663,1672,11335
2020-03-16,11025,1851,12876
2020-03-17,12894,206,14954
2020-03-18,14363,2257,1662
2020-03-19,15757,2498,18255
2020-03-20,1602,2655,18675
2020-03-21,17708,2857,20565
2020-03-22,19846,3009,22855
2020-03-23,20692,3204,23896
2020-03-24,21937,3396,25333
2020-03-25,23112,3489,26601
2020-03-26,24753,3612,28365
2020-03-27,26029,3732,29761
2020-03-28,26676,3856,30532
2020-03-29,27386,3906,31292
2020-03-30,27795,3981,31776
2020-03-31,28192,4023,32215
2020-04-01,28403,4035,32438
2020-04-02,2854,4053,32593
2020-04-03,28741,4068,32809
2020-04-04,2901,3994,33004
2020-04-05,28949,3977,32926
2020-04-06,28976,3898,32874
2020-04-07,28718,3792,3251
2020-04-08,28485,3693,32178
2020-04-09,28399,3605,32004
2020-04-10,28242,3497,31739
2020-04-11,28144,3381,31525
2020-04-12,27847,3343,3119
2020-04-13,28023,326,31283
2020-04-14,28011,3186,31197
2020-04-15,27643,3079,30722
2020-04-16,26893,2936,29829
2020-04-17,25786,2812,28598
2020-04-18,25007,2733,2774
2020-04-19,25033,2635,27668
2020-04-20,24906,2573,27479
2020-04-21,24134,2471,26605
2020-04-22,23805,2384,26189
2020-04-23,22871,2267,25138
2020-04-24,22068,2173,24241
2020-04-25,21533,2102,23635
2020-04-26,21372,2009,23381
2020-04-27,20353,1956,22309
2020-04-28,19723,1863,21586
2020-04-29,1921,1795,21005
2020-04-30,18149,1694,19843
2020-05-01,17569,1578,19147
2020-05-02,17357,1539,18896
2020-05-03,17242,1501,18743
2020-05-04,16823,1479,18302
2020-05-05,1627,1427,17697
2020-05-06,15769,1333,17102
2020-05-07,15174,1311,16485
2020-05-08,14636,1168,15804
2020-05-09,13834,1034,14868
2020-05-10,13618,1027,14645
2020-05-11,13539,999,14538
2020-05-12,12865,952,13817
2020-05-13,12172,893,13065
2020-05-14,11453,855,12308
2020-05-15,10792,808,116
2020-05-16,104,775,11175
2020-05-17,10311,772,11083
2020-05-18,10207,749,10956
2020-05-19,9991,716,10707
2020-05-20,9624,676,103
2020-05-21,9269,640,9909
2020-05-22,8957,595,9552
2020-05-23,8695,572,9267
2020-05-24,8613,553,9166
2020-05-25,8185,541,8726
2020-05-26,7917,521,8438
2020-05-27,7729,505,8234
2020-05-28,7379,489,7868
2020-05-29,7094,475,7569
2020-05-30,668,450,713
2020-05-31,6387,435,6822
2020-06-01,6099,424,6523
2020-06-02,5916,408,6324
2020-06-03,5742,353,6095
2020-06-04,5503,338,5841
2020-06-05,5301,316,5617
2020-06-06,5002,293,5295
2020-06-07,4864,287,5151
2020-06-08,4729,283,5012
2020-06-09,4581,263,4844
2020-06-10,432,249,4569
2020-06-11,4131,236,4367
2020-06-12,3893,227,412
2020-06-13,3747,220,3967
2020-06-14,3594,209,3803
2020-06-15,3489,207,3696
2020-06-16,3301,177,3478
2020-06-17,3113,163,3276
2020-06-18,2867,168,3035
2020-06-19,2632,161,2793
2020-06-20,2474,152,2626
2020-06-21,2314,148,2462
2020-06-22,2038,127,2165
2020-06-23,1853,115,1968
2020-06-24,161,107,1717
2020-06-25,1515,103,1618
2020-06-26,1356,105,1461
2020-06-27,126,97,1357
2020-06-28,116,98,1258
2020-06-29,112,96,1216
2020-06-30,109,93,1183
2020-07-01,1025,87,1112
2020-07-02,963,82,1045
2020-07-03,956,79,1035
2020-07-04,940,71,1011
2020-07-05,945,74,1019
2020-07-06,946,72,1018
2020-07-07,940,70,101
2020-07-08,899,71,970
2020-07-09,871,69,940
2020-07-10,844,65,909
2020-07-11,826,67,893
2020-07-12,776,68,844
2020-07-13,768,65,833
2020-07-14,777,60,837
2020-07-15,797,57,854
2020-07-16,750,53,803
2020-07-17,771,50,821
2020-07-18,757,50,807
2020-07-19,743,49,792
2020-07-20,745,47,792
2020-07-21,732,49,781
2020-07-22,724,48,772
2020-07-23,713,49,762
2020-07-24,713,46,759
2020-07-25,731,41,772
2020-07-26,735,44,779
2020-07-27,740,45,785
2020-07-28,749,40,789
2020-07-29,731,38,769
2020-07-30,748,47,795
2020-07-31,716,41,757
